PDGF_RECEPTOR_SIGNALING_NETWORK|5159	5154	56034	5156	5155	80310
VIRAL_DSRNA-TLR3-TRIF_COMPLEX_ACTIVATES_RIP1|5970	8737	8517	1147	148022	11035	3551
RNA_POLYMERASE_III_ABORTIVE_AND_RETRACTIVE_INITIATION|2971	5441	171568	7702	5435	5437	4774	4781	5440	5451	55703	661	4784	5434	11128	6741	4782	55718	10621	11178
REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE-COMMITTED_(NEUROG3+)_PROGENITOR_CELLS|5078	50674	4821	4760	3642
NICOTINAMIDE_SALVAGING|10135	93100
P53-DEPENDENT_G1_DNA_DAMAGE_RESPONSE|1017
LYSOSOME_VESICLE_BIOGENESIS|164	1213	408	1785	375	162	9829	1211	3312	6456
RELAXIN_RECEPTORS|339403	117579	51289	59350	122042
NCAM_SIGNALING_FOR_NEURITE_OUT-GROWTH|6714	5786	6654	1385	2885	9252	2534	2260	5747	4684
CITRIC_ACID_CYCLE_(TCA_CYCLE)|8803	50	6391	3421	3419	4191	2271	8802	3420	8801	1431	3418	6392	23530
INHIBITION_OF_TSC_COMPLEX_FORMATION_BY_PKB|7249	208	7248
HOST_INTERACTIONS_OF_HIV_FACTORS|5682	5695	9861	5688	5689	5699	7314	5716	5721	5686	5693	5720	5691	5684	9491	5718	5705	5711	10197	5704	5713	5696	5698	5706	5690	5709	5694	5707	5701	5710	5714	5719	5708	5715	5717	5685	5700	5683	5687	5702	10213	5692
MICROTUBULE-DEPENDENT_TRAFFICKING_OF_CONNEXONS_FROM_GOLGI_TO_THE_PLASMA_MEMBRANE|2697
RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA|54205	56616
FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX|2968	7936	728340	2967	2068	7469	51497	25920	2965	2071	9150	6827
METABOLISM_OF_WATER-SOLUBLE_VITAMINS_AND_COFACTORS|8884
ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA|5366	7027	1869
PAUSING_AND_RECOVERY_OF_ELONGATION|6917	9150	8178
VITAMIN_B5_(PANTOTHENATE)_METABOLISM|2194	8884	60496
C6_DEAMINATION_OF_ADENOSINE|104	103
EARLY_PHASE_OF_HIV_LIFE_CYCLE|5478	2237	3978
FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS|2359	2358	2357
SIGNAL_TRANSDUCTION_BY_L1|6456	8829	5604	1459	2260	5605	1956	4684	1460	1457	5058	5594	5595	7410	3897	5879
STEROID_HORMONES|1586	1589	1584
MITOCHONDRIAL_TRANSCRIPTION_TERMINATION|7978
ACTIVATION_OF_RAC|5879	6091
SEMAPHORIN_INTERACTIONS|10371	2242
APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION__PROTEINS|100506658	1832	999	7082	1830	836	1828	5317	9414	1499	1829
S6K1_SIGNALLING|6198	29904	1981	1975	6194
TAT-MEDIATED_ELONGATION_OF_THE_HIV-1_TRANSCRIPT|728340	2071	2965	6917	2967	2968	2068	9150	8178
GAMMA-CARBOXYLATION_OF_PROTEIN_PRECURSORS|5624	2147	2159	8858	2621	2158	5627	2677	2155
FREE_FATTY_ACID_RECEPTORS|2867	2865	338557	2864
MONOAMINES_ARE_OXIDIZED_TO_ALDEHYDES_BY_MAOA_AND_MAOB,_PRODUCING_NH3_AND_H2O2|4128	4129
TOLL_LIKE_RECEPTOR_4_(TLR4)_CASCADE|3929	9450	23643	884553	4064	7099	929
COOPERATION_OF_PREFOLDIN_AND_TRIC-CCT__IN_ACTIN_AND_TUBULIN_FOLDING|10694	7203	908	22948	10574	10575	6950	10576
INTEGRIN_ALPHAIIBBETA3_SIGNALING|6714	5747	7094	1445	5770	6464	54518
ERK2_ACTIVATION|5605	5594
ACTIVATION_OF_C3_AND_C5|721	718	717	727
ABH3_MEDIATED_REVERSAL_OF_ALKYLATION_DAMAGE|221120
THYROXINE_BIOSYNTHESIS|6528
G1-S_TRANSITION|7027	4176	1869	4174	4175	4171	4172	4173
G-PROTEIN_BETA-GAMMA_SIGNALLING|54331	2782
REGULATION_OF_CYTOSKELETAL_REMODELING_AND_CELL_SPREADING_BY_IPP_COMPLEX_COMPONENTS|3987	55742	87	6251	7016	29780	9459	5829
SYNTHESIS_OF_GDP-MANNOSE|4351
VITAMINS|56603	340665	120227	1594	1591	1592
ZINC_EFFLUX_AND_COMPARTMENTALIZATION_BY_THE_SLC30_FAMILY|7781	64924	7779	169026	148867	7780	55676
P75_NTR_RECEPTOR-MEDIATED_SIGNALLING|4804
PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS|10606	5471	2618	158	8833	471	5198
RNA_POLYMERASE_II_HIV-1_PROMOTER_ESCAPE|2959	2968	2960	2967	6872	6878	6880	2958	6908	2068	6875	2961	728340	6882	2957	2965	6881	6883	6884	6877	6874	2071
GAP-FILLING_DNA_REPAIR_SYNTHESIS_AND_LIGATION_IN_TC-NER|3978
ACTIVATION_OF_DNA_FRAGMENTATION_FACTOR|3836	3837	1676	3005	1677	836
RNA_POLYMERASE_I_CHAIN_ELONGATION|11335	7343
P75NTR_NEGATIVELY_REGULATES_CELL_CYCLE_VIA_SC1|11108	4804
NEUROTRANSMITTER_CLEARANCE_IN_THE_SYNAPTIC_CLEFT|43	6582
GLYCOPROTEIN_HORMONES|2488	3972	7252	94115	1081
BETA_OXIDATION_OF_BUTANOYL-COA_TO_ACETYL-COA|35	3033	1892
AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL|1147	7249	4193	84335	572	842	207	5170
CALMODULIN_INDUCED_EVENTS|808	156	1385
SHC_EVENTS_IN_EGFR_SIGNALING|2885	6464	6654
FGFR1C_AND_KLOTHO_LIGAND_BINDING_AND_ACTIVATION|867	8074	6383	2885	2260
EICOSANOID_LIGAND-BINDING_RECEPTORS|165140
INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS|81929	79902	5903	8086	4927	348995	4928	9972	23165	23511	11097	10762	9688	9883	8480	129401	23225	8021	9631	7175	1104	5901
ROLE_OF_SECOND_MESSENGERS_IN_NETRIN-1_SIGNALING|1630	5306	5335
APC-C-CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS|991	9184	7314	701	4085
SIGNAL_AMPLIFICATION|54331	2782
RNA_POLYMERASE_III_TRANSCRIPTION|171568	11128	4781	10621	4774	661	6741	5434	11178	4784	55703	5437	4782	5440	5435	5441	55718
TRAM_CASCADE|8737	353376	29110	148022	3661
OLFACTORY_SIGNALING_PATHWAY|2782	2774	2792
CDC20-PHOSPHO-APC-C_MEDIATED_DEGRADATION_OF_CYCLIN_A|9861	5705	5721	5709	5694	5717	5687	5695	5707	5708	5716	5689	5683	5699	5690	5714	5702	5698	5701	5711	5693	5720	5719	5688	5685	983	5718	9491	5706	5704	10213	5700	5682	5715	5691	5692	5686	5713	5696	5710	5684	7314	10197
SYNTHESIS_OF_DOPAMINE|1644
BETA_OXIDATION_OF_PALMITOYL-COA_TO_MYRISTOYL-COA|37	3032	3030
ENOS_ACTIVATION_AND_REGULATION|4846	857
PYRIMIDINE_SALVAGE_REACTIONS|7378	1890	1633	7084	7083	978	7371	83549
TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS|1977	129401	11097	81929	4927	8021	79902	4928	4686	22916	5903	10189	348995	23165	23225	23511	7175	9631	8480	9688	9972	9883	8086	10762	10482
REGULATION_OF_THE_FANCONI_ANEMIA_PATHWAY|7314	7398	27033	55215	2177
BETA_OXIDATION_OF_DECANOYL-COA_TO_OCTANOYL-COA-COA|3032	1892	3033	34	3030
PDE3B_SIGNALLING|5140	208
RIBOSOMAL_SCANNING_AND_START_CODON_RECOGNITION|1964	1965	7458	8894	1975	1983	1968
ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION|5606	5608
ORC1_REMOVAL_FROM_CHROMATIN|5698	5710	5721	5714	5688	5684	5687	5706	81620	5718	9491	5695	5686	5689	5709	5704	990	7314	10213	5720	5000	5693	5702	4998	5690	5700	5707	5708	23595	5682	5701	9861	5001	5683	5719	5715	5713	5711	5696	5716	5692	23594	5717	5694	5705	5691	10197	5685	5699
TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT|1977	9972	9631	9688	10762	23511	79902	29894	8021	7175	81929	4927	23225	51692	10482	10189	8086	11097	4686	348995	8480	23165	129401	5903	9883	53981	4928	22916
REGULATED_PROTEOLYSIS_OF_P75NTR|6868	7189	5970	4790	4804	55851
RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION|5437	55703	4784	11128	4774	6741	5435	10621	4781	55718	5441	4782	11178	5434	5440	661	171568
G_ALPHA_(I)_SIGNALLING_EVENTS|2782	54331
ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT|335	10347	8504	1080
NETRIN_MEDIATED_REPULSION_SIGNALS|6714	1630	9423	5781
NETRIN-1_SIGNALING|4651	4756	5588	6477	9423	7430	1630	219699	6091	59277	116986	6478
TERMINAL_PATHWAY_OF_COMPLEMENT|727	733	730	732	735	731	729
AMINE-DERIVED_HORMONES|1644
PAUSING_AND_RECOVERY_OF_HIV-1_ELONGATION|9150	6917	8178
AMINE_COMPOUND_SLC_TRANSPORTERS|60482
RESPIRATORY_ELECTRON_TRANSPORT|10975	4512	1327	27089	2108	1340	9167	1351	7385	1337	9377	2109	1345	29796	7388	6392	6391	7381	1329	4514	1349	7384	2110	4513	1350	54205
EUKARYOTIC_TRANSLATION_ELONGATION|1936	1933	1915	1937
INACTIVATION_OF_CDC42_AND_RAC|80728	998	5879	6091
REGULATION_OF_AMPK_ACTIVITY_VIA_LKB1|6794	57521	5494
FORMATION_OF_ANNULAR_GAP_JUNCTIONS|1173
SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27-HYDROXYCHOLESTEROL|6718	80270	1582	1593	9420	1109
PHOSPHOLIPASE_C-MEDIATED_CASCADE|5335
PREGNENOLONE_BIOSYNTHESIS|6770	231	1583	80765
DIGESTION_OF_DIETARY_CARBOHYDRATE|3938	11181	8972	279
FORMATION_OF_INCISION_COMPLEX_IN_GG-NER|1643	2072	7507	2968	1642	2073	2068	2967	6118	2067	728340	6119	6117	2965	2071
DISSOLUTION_OF_FIBRIN_CLOT|5340	5327	5328	3273	5329	5054	5055	5345
GAMMA-CARBOXYLATION,_TRANSPORT,_AND_AMINO-TERMINAL_CLEAVAGE_OF_PROTEINS|5627	8858	2159	2621	2147	2155	79001	2158	5624
TRANSLOCATION_OF_ZAP-70_TO_IMMUNOLOGICAL_SYNAPSE|7535	3932	920
RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION|5437	8850	9015	728340	9014	2071	5440	2967	2074	9013	51082	2968	84172	54700	2965	9533	10919	2068	25885	7343
FGFR1_LIGAND_BINDING_AND_ACTIVATION|2260	2885	6383	867
PI-3K_CASCADE|2549	2885
RNA_POLYMERASE_II_TRANSCRIPTION_ELONGATION|2071	8178	6917	2068	2967	728340	2965	2968	9150
CHOLESTEROL_BIOSYNTHESIS|10682	51478	4598	1718	3930	2222	3157	9453	1717	4597	6309	10654	6713	7108	50814	1595	6307	4047
AMPLIFICATION__OF_SIGNAL_FROM_UNATTACHED__KINETOCHORES_VIA_A_MAD2__INHIBITORY_SIGNAL|8379	4085
ADENYLATE_CYCLASE_INHIBITORY_PATHWAY|2774	2770
SHC-MEDIATED_SIGNALLING|2885	6654
ATM_MEDIATED_PHOSPHORYLATION_OF_REPAIR_PROTEINS|672	3014	9656	4683	472
NEUROPHILIN_INTERACTIONS_WITH_VEGF_AND_VEGFR|7422	3791
G_ALPHA_(Q)_SIGNALLING_EVENTS|156	54331	5290	2869	2782	5295
CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKK|84254	814	1385
MRNA_SPLICING_-_MINOR_PATHWAY|6426	9410	9416	10907	6431	6432	57819	6427	9343	51639	24148	10594	23020	4809
TRANSPORT_OF_NUCLEOSIDES_AND_FREE_PURINE_AND_PYRIMIDINE_BASES_ACROSS_THE_PLASMA_MEMBRANE|55315	64078	3177	9153	2030	9154	222962
DOWN-STREAM_SIGNAL_TRANSDUCTION|2886	9564	6714	6654	2889	5335	5781	2885	5921
RELEASE_OF_EIF4E|1977	2475	57521	64223	1978
FGFR3_LIGAND_BINDING_AND_ACTIVATION|2885	867	6383
VEGF_LIGAND-RECEPTOR_INTERACTIONS|3791
MTOR_SIGNALLING|64223	57521	2475	6009
REVERSE_TRANSCRIPTION_OF_HIV_RNA|5478
PHOSPHORYLATION_OF_EMI1|891	5347	983	26271
NECTIN-NECL__TRANS_HETERODIMERIZATION|5819	81607	25945	5817	23705	57863	5818
G-PROTEIN_MEDIATED_EVENTS|2774
TAT-MEDIATED_HIV-1_ELONGATION_ARREST_AND_RECOVERY|8178	9150	6917
SWITCHING_OF_ORIGINS_TO_A_POST-REPLICATIVE_STATE|5708	5682	10197	9491	5696	5706	5687	5711	5715	5691	5718	5690	5684	5689	5693	5704	5699	5692	5685	5716	5694	4173	5709	4174	5713	5686	5720	4172	5695	7314	5717	5721	5702	4175	5698	5701	5700	5710	9861	5683	4176	5688	5719	5705	5707	4171	10213	5714
TRANSPORT_OF_GAMMA-CARBOXYLATED_PROTEIN_PRECURSORS_FROM_THE_ENDOPLASMIC_RETICULUM_TO_THE_GOLGI_APPARATUS|2158	8858	2155	2621	5627	2147	5624	2159
REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS|4760	3651	6514	2645	5313	3174	3630	3375	4825	3171	389692	3170	4821	2308
G_ALPHA_(12-13)_SIGNALLING_EVENTS|23365	5295	2782	54331	10672	5364	9138	5290
TYPE_I_HEMIDESMOSOME_ASSEMBLY|3909	5339	977	3914	1308	3655	3691	3918
THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_(PARS)|2147
RNA_POLYMERASE_II_PROMOTER_ESCAPE|2958	6877	2959	2960	6874	6884	2968	6908	6883	2957	6878	2961	6880	2068	6881	728340	2965	6882	2967	6872	6875	2071
APC-C-CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC-C-CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS-EARLY_G1|5716	9491	51343	5690	5718	5702	5715	5688	5694	5682	5704	5720	5711	5707	5721	5701	5698	5691	5700	5685	10197	5713	5714	5706	5699	5696	7314	5687	10213	5683	5689	5693	5695	5709	5717	5684	5692	5719	5710	9861	5686	5708	5705
DARPP-32_EVENTS|84152	5566	1020	808	5534	5142	5499
SIGNALLING_TO_STAT3|4914
AMINE_LIGAND-BINDING_RECEPTORS|134864
OTHER_SEMAPHORIN_INTERACTIONS|3688	8482	64218	80031	23129	9723	57556	5361	3672	9037	5365	10154
MRN_COMPLEX_RELOCALIZES_TO_NUCLEAR_FOCI|4683	3014
VITAMIN_B1_(THIAMIN)_METABOLISM|27010
PHOSPHORYLATION_OF_THE_APC-C|891	996	8881	7321	5347	51433	7324	29945	29882	8697	64682	11065	246184	10393	983	51529	51434
PACKAGING_OF_EIGHT_RNA_SEGMENTS|956532	956527	956536	956535	956529	956530	956531	956528	956534
INHIBITION_OF_HSL|208	5140
VPR-MEDIATED_NUCLEAR_IMPORT_OF_PICS|8021	129401	79902	5903	8480	4927	9972	9688	23165	9631	348995	23225	9883	4928	3836	81929	11097	8815	23511	7175	8086	10762
CHAPERONIN-MEDIATED_PROTEIN_FOLDING|7203	10694	6950	22948	10575	908	10574	10576
HEXOSE_TRANSPORT|6523	6518	6514
PEROXISOMAL_LIPID_METABOLISM|3295	10005	1384
TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM|81929	348995	4928	9883	10482	4927	10189	9972	8021	9688	10762	23511	8086	8480	5903	1977	129401	79902	23225	23165	9631	11097	7175
MRNA_EDITING-_C_TO_U_CONVERSION|339
COLLAGEN_ADHESION_VIA_GPVI|51206	2207	4067	2534
ACTIVATION_OF_PRO-CASPASE_8|8772	841
DNA_STRAND_ELONGATION|5424	5425	57804	10714
PROSTANOID_LIGAND_RECEPTORS|5731	6915	5733	5729	11251	5737	5739
MISCELLANEOUS_SUBSTRATES|54905	113612	57834
GLOBAL_GENOMIC_NER_(GG-NER)|6118	7508	2967	1642	2072	7507	6117	2067	728340	5887	2968	6119	2073	2068	2071	1643	2965
PYRUVATE_METABOLISM|682	8050
CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1-S_TRANSITION|4609	9134	1022	902	1027	4331	5925	993	1017	1026	898	7465	9088
SYNTHESIS_OF_DOLICHYL-PHOSPHATE-GLUCOSE|29880
ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE|5864	6804	10815	6812	60482	6572	1103	6844	6616	6857	22999
DUAL_INCISION_REACTION_IN_TC-NER|2073	6917	56949	1161	2074
FRS2-MEDIATED_CASCADE|2885	2549	10818	5781
GTP_HYDROLYSIS_AND_JOINING_OF_THE_60S_RIBOSOMAL_SUBUNIT|6142	1977	25873	6160	6164	6161	6138	6133	23521	6122	11224	6125	8667	7311	6167	6147	1983	6181	27335	1973	6128	1981	8668	6154	6175	6124	6144	6137	9669	6159	9045	6134	6141	6135	1975	8669	6168	6123	8665	8662	6146	6158	8666	6155	6143	6132	6129	6130	6171	51121	6156	1974	6139	7458	4736	6165	3646	8663	6173	8661	6169	6136	1964	6176	6157	6152	8664	9349	6170
NADPH_REGENERATION|3417
CYCLIN_A-CDK2-ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY|993	7465	4609	4331	1027	902	1022	1026	1017
ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR|94005	80055	5329	8733	51604	128869	10026
G_ALPHA_(Z)_SIGNALLING_EVENTS|2781	54331	2782
OREXIN_AND_NEUROPEPTIDES_FF_AND_QRFP_BIND_TO_THEIR_RESPECTIVE_RECEPTORS|3060	8620	3061	347148	3062	84109
MITOCHONDRIAL_FATTY_ACID_BETA-OXIDATION_OF_UNSATURATED_FATTY_ACIDS|33	34	1666	3032	3030	1632
FANCONI_ANEMIA_PATHWAY|57697	7314	80233	55215	2175	2178	2176	2188	2177	2189	2187	91442	675	672	55120	79728	29089
G_BETA-GAMMA_SIGNALLING_THROUGH_PLC_BETA|54331	2782
POST_NMDA_RECEPTOR_ACTIVATION_EVENTS|1385
AXONAL_GROWTH_INHIBITION_(RHOA_ACTIVATION)|9138	387	396	4804
NEF_AND_SIGNAL_TRANSDUCTION|5062	2534	9844	3932	3055	919	1794	5879
FRUCTOSE_CATABOLISM|229
RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION|10621	55814	5441	9330	9329	5434	5440	2975	55718	2976	5435	11178	55703	661	6908	9328	11128	5437	2972	171568
ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12|2782	64805	54331
GRB2_EVENTS_IN_EGFR_SIGNALING|2885	6654
LOCALIZATION_OF_THE_PINCH-ILK-PARVIN_COMPLEX_TO_FOCAL_ADHESIONS|55742	3611	5829	3688
G1-S-SPECIFIC_TRANSCRIPTION|7027	1869
PEPTIDE_HORMONE_BIOSYNTHESIS|5443	5122
L1CAM_INTERACTIONS|1463	6456	5594	286	8829	4897	3897	1272	6900	2048	10048	3912	3915	214	100133941	284217
PHENYLALANINE_AND_TYROSINE_CATABOLISM|5092	6898	3242	5860	5053	2954	2184	3081
INITIAL_TRIGGERING_OF_COMPLEMENT|721	717
HIV-1_TRANSCRIPTION_INITIATION|2961	2968	6872	6883	2957	2068	2958	2967	728340	6908	6884	6880	6877	6878	2965	2071	6875	2959	2960	6874	6882	6881
TRYPTOPHAN_CATABOLISM|8564	130013	23498	125061	8942	6999	3620
TRANSCRIPTION|2968	2967	2071	2068	2965	728340
HIV-1_TRANSCRIPTION_ELONGATION|2967	2965	2068	2071	728340	2968
FGFR2_LIGAND_BINDING_AND_ACTIVATION|867	6383	2885
REGULATION_OF_ACTIVATED_PAK-2P34_BY_PROTEASOME_MEDIATED_DEGRADATION|5711	5684	5716	5682	5715	5704	5692	5062	9491	5709	5702	5687	5717	5683	9861	5714	5720	5693	5713	5694	5707	5710	5700	10213	5705	5696	5721	5686	5719	5695	5689	5688	5698	5706	5699	5718	5691	5690	5708	7314	10197	5685	5701
TRANSLATION_INITIATION_COMPLEX_FORMATION|26986	1975	1964	7458
SMAC-MEDIATED_DISSOCIATION_OF_IAP-CASPASE_COMPLEXES|842	331	836	56616	840
P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS|1398	5747	9564
3'_-UTR-MEDIATED_TRANSLATIONAL_REGULATION|6171	25873	6138	6125	6142	6158	6123	51121	6168	6181	6144	6176	6165	7311	6136	6161	6156	6147	6173	6135	6124	6146	23521	4736	11224	6152	6167	6133	6157	6128	6175	6164	6139	6134	6132	6122	6170	6129	6130	6141	6169	6154	6160	6137	6155	9045	9349	6159	6143
NEGATIVE_REGULATION_OF_THE_PI3K-AKT_NETWORK|23239	117145	5728	207	57761
RHESUS_GLYCOPROTEINS_MEDIATE_AMMONIUM_TRANSPORT.|51458	6005	57127
METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES|4953	206358	153201
METAL_ION_SLC_TRANSPORTERS|6556	30061	1317	4891
NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE|4914
PURINE_METABOLISM|4860
G-PROTEIN_ACTIVATION|4988	2782	54331
CASPASE-8_IS_FORMED_FROM_PROCASPASE-8|841
FGFR2C_LIGAND_BINDING_AND_ACTIVATION|6383	867	2885
DEADENYLATION_OF_MRNA|25904	1975	4848	1977	10605	85456	5073	9924	255967	1981	23019	4849	9125	26986	4850	55571
RAS_ACTIVATION_UOPN_CA2+_INFUX_THROUGH_NMDA_RECEPTOR|5923	3265	5924	808
RNA_POLYMERASE_II_TRANSCRIPTION_INITIATION_AND_PROMOTER_CLEARANCE|2965	2968	2068	728340	2071	2959	2967
G2_PHASE|1017
NRAGE_SIGNALS_DEATH_THROUGH_JNK|572	9500	4804	26574	5599
EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C-GAMMA|5335
NEF_MEDIATED_CD8_DOWN-REGULATION|1175	926	163	51606	1173
RECYCLING_OF_BILE_ACIDS_AND_SALTS|6555	2172	8714	28234	570	8647	6579	6554	213	10998	10599
NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION|567	162	164	55690	3105
ATM_MEDIATED_RESPONSE_TO_DNA_DOUBLE-STRAND_BREAK|472
TNF_SIGNALING|7186	7124	7132	841	8717	8737	8772
FGFR1B_LIGAND_BINDING_AND_ACTIVATION|867	6383	2885
LEUKOTRIENE_RECEPTORS|2840
ACTIVATION_OF_THE_AP-1_FAMILY_OF_TRANSCRIPTION_FACTORS|1386	3725	2353
NOTCH_RECEPTOR_BINDS_WITH_A_LIGAND|4851	4854	4855	4853
AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_(TRANSAMINATION)|2806	2746	5831	440	4942	2752	2875	2805	84706
ETHANOL_OXIDATION|217	84532	216	55902
UBIQUITIN-DEPENDENT_DEGRADATION_OF_CYCLIN_D1|7314	5700	5716	9861	5692	5689	9491	5683	5709	5702	5705	10197	5706	5715	5682	5708	5710	5685	5696	5719	10213	5714	5707	5693	5699	595	5718	5688	5690	5686	5687	5721	5691	5704	5701	5684	5694	5713	5717	1019	5698	5711	5695	5720
ROLE_OF_ABL_IN_ROBO-SLIT_SIGNALING|6091
UNCOATING_OF_THE_HIV_VIRION|5478
REGULATION_OF_APC-C_ACTIVATORS_BETWEEN_G1-S_AND_EARLY_ANAPHASE|29882	246184	10393	7324	51434	7321	996	891	11065	991	64682	29945	51529	8697	8881	51433	983	1017	51343	26271
COMMON_PATHWAY|2147	2244	5627	2266	5624	2243	2153	7056	2165	2162	2159	462
E2F-ENABLED_INHIBITION_OF_PRE-REPLICATION_COMPLEX_FORMATION|5001	23595	5000	891	23594	983	4998
CLATHRIN_DERIVED_VESICLE_BUDDING|3312	164	8729	1785	9829	8773	375	408	1213	8673	1211	6845	6456	6810	162	6844
SIGNALING_BY_NOTCH|4854	4855	4853	4851
PROCESSING_OF_DNA_ENDS_PRIOR_TO_END_REJOINING|5591
LAGGING_STRAND_SYNTHESIS|10714	57804	5424	5425
GALACTOSE_CATABOLISM|2584	2582	2592
REGULATION_OF_INSULIN_SECRETION|3767	6833	6844	3630	6861
AUTODEGRADATION_OF_CDH1_BY_CDH1-APC-C|5698	5718	5693	10393	51529	29882	5721	5694	996	5692	11065	5704	5714	51434	5687	5685	5716	5682	7314	5696	5701	5686	10213	51433	7321	5720	5689	9491	64682	5691	51343	246184	5683	5684	5699	5702	5690	7324	5710	9861	5705	5707	8881	5706	5700	5688	5708	5711	10197	5717	5713	8697	29945	5719	5695	5709	5715
INHIBITION_OF_PKR|5610	956533
VITAMIN_D_(CALCIFEROL)_METABOLISM|1591	1594	4036	8029	5641	120227	2638
FMO_OXIDIZES_NUCLEOPHILES|2326	2327	2328
CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION|47	6945	10554	51085	2194	5313
CD28_DEPENDENT_VAV1_PATHWAY|2534	942	2885	998	5879	7409
INSULIN_SYNTHESIS_AND_PROCESSING|28972	10640	6734	60412	5126	6726	55770	3630	23478	6185	149371	6727	58477	6729	4821	6184	6728	3651	5122	3799	389692	9789	54536	6731	1650	60559	90701	30001	148867	6844	1363	6730
TCR_SIGNALING|7535	920	3932
BREAKDOWN_OF_THE_NUCLEAR_LAMINA|4000	839	4001
BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS|345274
INTEGRATION_OF_VIRAL_DNA_INTO_HOST_GENOMIC_DNA|8815
ADHERENS_JUNCTIONS_INTERACTIONS|1500	4301	1495	3728
VWF_INTERACTION_WITH_COLLAGEN|2814	2815	7450
REGULATION_OF_LIPID_METABOLISM_BY_PEROXISOME_PROLIFERATOR-ACTIVATED_RECEPTOR_ALPHA_(PPARALPHA)|79718	6907	6256	51	5465
DIABETES_PATHWAYS|90701	5122	9789	23478	6844	60559	3630	28972
PLC-GAMMA1_SIGNALLING|10818	4914	5335
EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS|956532
REGULATION_OF_ORNITHINE_DECARBOXYLASE_(ODC)|5692	5686	1728	5716	5721	5702	5690	5687	5701	5719	5682	9491	5685	5713	5718	5699	5715	5691	5708	5711	51582	5700	5709	5695	5683	5720	5684	5694	5706	5714	9861	5704	5688	5698	5693	5689	5710	5696	10213	5717	5707	4953	10197	5705
MAPK_TARGETS-_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES|9252
PKA-MEDIATED_PHOSPHORYLATION_OF_CREB|1385
RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE-NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY|328	3978
TELOMERE_C-STRAND_(LAGGING_STRAND)_SYNTHESIS|10714	5557	5422	57804	5424	5558	5111	23649	5425
GAP-FILLING_DNA_REPAIR_SYNTHESIS_AND_LIGATION_IN_GG-NER|3978
FORMATION_OF_APOPTOSOME|842	317	54205
BRANCHED-CHAIN_AMINO_ACID_CATABOLISM|56922	4329	64087	549	586	27034	38	3712	26275	1629	3028	11112	36	587
RECYCLING_OF_EIF2-GDP|1967	8892	8890	8893	8891
FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX|22916	6924	11198	2968	6917	9150	2967	2071	905	6749	2068	1025	8178	728340	2965	4686	904
